id,Density_g_cm3,Space_group,Reletive_Energy_kJ_mol
1,0.776,2,49.436
2,0.778,2,50.358
3,0.775,2,50.814
4,0.782,2,52.248
5,0.775,2,53.386
6,0.774,2,53.64
7,0.775,2,53.895
8,0.774,2,53.928
9,0.775,2,53.945
10,0.773,2,54.001
11,0.775,2,54.118
12,0.775,2,54.157
13,0.775,2,54.197
14,0.775,2,54.229
15,0.775,2,54.296
16,0.772,2,54.314
17,0.775,2,54.358
18,0.776,2,54.393
19,0.775,2,54.41
20,0.767,2,54.415
21,0.776,2,54.551
22,0.775,2,54.678
23,0.774,2,54.688
24,0.776,2,54.723
25,0.766,2,54.797
26,0.774,2,54.801
27,0.775,2,54.905
28,0.773,2,54.992
29,0.774,2,55.008
30,0.775,2,55.045
31,0.769,2,55.147
32,0.777,2,55.225
33,0.777,2,55.441
34,0.773,2,55.446
35,0.775,2,55.466
36,0.777,2,55.495
