id,Density_g_cm3,Space_group,Reletive_Energy_kJ_mol
1,0.815,144,14.735
2,0.815,144,15.054
3,0.815,144,15.055
4,0.815,144,15.132
5,0.815,144,15.155
6,0.815,144,15.174
7,0.815,144,15.54
8,0.815,144,15.66
9,0.814,144,16.059
10,0.814,144,16.316
11,0.814,144,16.317
12,0.814,144,16.326
13,0.814,144,16.332
14,0.814,144,16.349
15,0.814,144,16.377
16,0.814,144,16.496
17,0.814,144,16.506
18,0.814,144,16.646
19,0.814,144,16.696
20,0.814,144,16.723
21,0.813,144,16.802
22,0.813,144,16.819
23,0.813,144,16.839
24,0.813,144,16.843
25,0.813,144,16.844
26,0.813,144,16.855
27,0.813,144,16.864
28,0.813,144,16.874
29,0.813,144,16.901
30,0.813,144,16.955
31,0.813,144,17.161
32,0.813,144,17.188
33,0.813,144,17.258
34,0.813,144,17.273
35,0.813,144,17.286
36,0.813,144,17.29
37,0.812,144,17.744
38,0.813,144,17.804
39,0.813,144,17.805
40,0.812,144,18.06
41,0.812,144,18.062
42,0.812,144,18.22
43,0.812,144,18.29
44,0.812,144,18.313
45,0.811,144,19.79
46,0.806,144,22.824
