id,Density_g_cm3,Space_group,Energy_kJ_mol
bddc-mace-144-g0-p133-Random,0.8,144,-26134.842118956
bddc-mace-144-g0-p134-Random,1.221,144,-26184.220526238012
bddc-mace-144-g0-p135-Random,1.298,144,-26173.57348922231
bddc-mace-144-g0-p136-Random,0.883,144,-26133.29295787505
bddc-mace-144-g0-p137-Random,0.682,144,-26105.32607312237
bddc-mace-144-g0-p126-Random,1.127,144,-26125.093026771676
bddc-mace-144-g0-p127-Random,1.383,144,-26177.158085889616
bddc-mace-144-g0-p129-Random,1.071,144,-26171.81293877015
bddc-mace-144-g0-p130-Random,0.51,144,-26131.188325832358
bddc-mace-144-g0-p131-Random,1.43,144,-26175.33088807575
bddc-mace-144-g0-p72-Random,1.048,144,-26165.51182417023
bddc-mace-144-g0-p73-Random,0.472,144,-26126.937617492113
bddc-mace-144-g0-p74-Random,1.227,144,-26148.07176337206
bddc-mace-144-g0-p75-Random,1.265,144,-26147.297412561602
bddc-mace-144-g0-p76-Random,0.949,144,-26086.782832035635
bddc-mace-144-g0-p77-Random,1.426,144,-26199.188528782426
bddc-mace-144-g0-p66-Random,0.91,144,-26096.789344731318
bddc-mace-144-g0-p68-Random,1.315,144,-26148.71736646745
bddc-mace-144-g0-p70-Random,0.59,144,-26196.864586962176
bddc-mace-144-g0-p71-Random,1.353,144,-26196.823029488467
bddc-mace-144-g0-p114-Random,1.322,144,-26201.537575195278
bddc-mace-144-g0-p115-Random,0.636,144,-26112.72759167687
bddc-mace-144-g0-p116-Random,0.802,144,-26170.26574577166
bddc-mace-144-g0-p117-Random,1.36,144,-26138.535721679284
bddc-mace-144-g0-p118-Random,1.457,144,-26213.92660587957
bddc-mace-144-g0-p119-Random,1.034,144,-26148.61505555724
bddc-mace-144-g0-p48-Random,1.168,144,-26188.62358602202
bddc-mace-144-g0-p49-Random,0.549,144,-26102.235762256427
bddc-mace-144-g0-p50-Random,0.629,144,-26129.952903867183
bddc-mace-144-g0-p51-Random,0.676,144,-26048.84380484336
bddc-mace-144-g0-p52-Random,1.146,144,-26165.646024754373
bddc-mace-144-g0-p53-Random,1.249,144,-26168.8877574069
bddc-mace-144-g0-p18-Random,0.924,144,-26127.507273858122
bddc-mace-144-g0-p19-Random,0.66,144,-26041.08480925205
bddc-mace-144-g0-p20-Random,0.904,144,-26125.334307750054
bddc-mace-144-g0-p21-Random,1.282,144,-26160.570097901702
bddc-mace-144-g0-p22-Random,1.346,144,-26190.892618215305
bddc-mace-144-g0-p23-Random,1.201,144,-26177.217557300897
bddc-mace-144-g0-p162-Random,1.064,144,-26109.46490628118
bddc-mace-144-g0-p163-Random,1.28,144,-26174.637957619085
bddc-mace-144-g0-p164-Random,0.798,144,-26071.918917904393
bddc-mace-144-g0-p165-Random,0.807,144,-26101.128173347588
bddc-mace-144-g0-p166-Random,1.256,144,-26154.01563170173
bddc-mace-144-g0-p167-Random,1.148,144,-26144.989855795873
bddc-mace-144-g0-p30-Random,0.586,144,-26155.659574842364
bddc-mace-144-g0-p31-Random,0.675,144,-26137.379013658952
bddc-mace-144-g0-p32-Random,1.022,144,-26174.76434624345
bddc-mace-144-g0-p33-Random,0.878,144,-26139.05570731072
bddc-mace-144-g0-p34-Random,0.477,144,-26083.873582091328
bddc-mace-144-g0-p35-Random,0.924,144,-26155.543884416824
bddc-mace-144-g0-p90-Random,1.355,144,-26210.51361073718
bddc-mace-144-g0-p91-Random,1.402,144,-26189.60138447386
bddc-mace-144-g0-p92-Random,1.416,144,-26158.682602107496
bddc-mace-144-g0-p93-Random,0.459,144,-26121.526779479198
bddc-mace-144-g0-p94-Random,0.574,144,-26111.54807960545
bddc-mace-144-g0-p95-Random,1.346,144,-26190.837086645326
bddc-mace-144-g0-p150-Random,1.127,144,-26147.545575608794
bddc-mace-144-g0-p151-Random,0.947,144,-26155.102768211054
bddc-mace-144-g0-p152-Random,0.587,144,-26134.72984694048
bddc-mace-144-g0-p153-Random,0.639,144,-26146.523780220636
bddc-mace-144-g0-p154-Random,1.049,144,-26186.521391518392
bddc-mace-144-g0-p155-Random,0.944,144,-26097.984045171746
bddc-mace-144-g0-p120-Random,1.034,144,-26148.044077105886
bddc-mace-144-g0-p121-Random,0.612,144,-26117.48297286613
bddc-mace-144-g0-p122-Random,1.114,144,-26139.201626996863
bddc-mace-144-g0-p123-Random,1.094,144,-26114.628416830023
bddc-mace-144-g0-p124-Random,1.304,144,-26154.212132951896
bddc-mace-144-g0-p125-Random,0.583,144,-26166.22231393544
bddc-mace-144-g0-p138-Random,0.776,144,-26108.114183061898
bddc-mace-144-g0-p139-Random,0.774,144,-26114.886881224138
bddc-mace-144-g0-p140-Random,0.463,144,-26090.413685454834
bddc-mace-144-g0-p141-Random,1.173,144,-26144.458501396944
bddc-mace-144-g0-p142-Random,1.217,144,-26170.80778260411
bddc-mace-144-g0-p143-Random,1.019,144,-26122.607815285843
bddc-mace-144-g0-p54-Random,1.105,144,-26185.20877053652
bddc-mace-144-g0-p55-Random,0.973,144,-26192.93690203599
bddc-mace-144-g0-p56-Random,1.335,144,-26193.839230699647
bddc-mace-144-g0-p57-Random,1.034,144,-26148.672304498985
bddc-mace-144-g0-p58-Random,0.615,144,-26050.847555149245
bddc-mace-144-g0-p59-Random,1.403,144,-26169.613870121808
bddc-mace-144-g0-p108-Random,1.085,144,-26131.145736307953
bddc-mace-144-g0-p109-Random,1.456,144,-26209.469992676375
bddc-mace-144-g0-p111-Random,0.872,144,-26130.62627494329
bddc-mace-144-g0-p112-Random,1.042,144,-26122.86285090507
bddc-mace-144-g0-p113-Random,1.158,144,-26175.949362162657
bddc-mace-144-g0-p180-Random,1.43,144,-26175.9612173044
bddc-mace-144-g0-p181-Random,1.46,144,-26186.603219869514
bddc-mace-144-g0-p182-Random,0.682,144,-26053.987644378074
bddc-mace-144-g0-p183-Random,0.981,144,-26166.556789085455
bddc-mace-144-g0-p184-Random,1.339,144,-26174.08742248085
bddc-mace-144-g0-p185-Random,0.746,144,-26072.89436038296
bddc-mace-144-g0-p102-Random,1.079,144,-26156.70429713343
bddc-mace-144-g0-p103-Random,1.188,144,-26261.150112453968
bddc-mace-144-g0-p104-Random,1.385,144,-26183.464378654164
bddc-mace-144-g0-p105-Random,1.129,144,-26211.217071175688
bddc-mace-144-g0-p106-Random,1.034,144,-26148.60943088441
bddc-mace-144-g0-p107-Random,1.321,144,-26207.595658925515
bddc-mace-144-g0-p42-Random,1.125,144,-26158.58168766754
bddc-mace-144-g0-p43-Random,1.009,144,-26134.536114031816
bddc-mace-144-g0-p44-Random,1.011,144,-26164.05195608774
bddc-mace-144-g0-p45-Random,1.283,144,-26174.542050957323
bddc-mace-144-g0-p46-Random,0.987,144,-26156.51591298938
bddc-mace-144-g0-p47-Random,1.319,144,-26143.2606015483
bddc-mace-144-g0-p186-Random,1.405,144,-26175.894850035893
bddc-mace-144-g0-p187-Random,0.369,144,-26093.032473467934
bddc-mace-144-g0-p188-Random,1.143,144,-26128.432844184583
bddc-mace-144-g0-p189-Random,0.778,144,-26122.528748692046
bddc-mace-144-g0-p190-Random,1.145,144,-26158.866274070297
bddc-mace-144-g0-p191-Random,1.172,144,-26185.75944064117
bddc-mace-144-g0-p0-Random,1.206,144,-26178.055040310766
bddc-mace-144-g0-p1-Random,0.495,144,-26081.764804494505
bddc-mace-144-g0-p2-Random,0.472,144,-26079.32411790985
bddc-mace-144-g0-p3-Random,0.567,144,-26086.183205147907
bddc-mace-144-g0-p4-Random,1.376,144,-26186.18558218506
bddc-mace-144-g0-p5-Random,0.832,144,-26166.53599387149
bddc-mace-144-g0-p78-Random,1.352,144,-26132.56166783828
bddc-mace-144-g0-p79-Random,0.717,144,-26198.260443788768
bddc-mace-144-g0-p80-Random,1.374,144,-26165.463581261447
bddc-mace-144-g0-p81-Random,1.328,144,-26175.34751034741
bddc-mace-144-g0-p82-Random,1.159,144,-26175.847112004732
bddc-mace-144-g0-p83-Random,1.408,144,-26176.819828052656
bddc-mace-144-g0-p168-Random,1.2,144,-26151.927488992347
bddc-mace-144-g0-p169-Random,0.944,144,-26132.130760544747
bddc-mace-144-g0-p170-Random,0.612,144,-26117.03556375638
bddc-mace-144-g0-p171-Random,1.377,144,-26242.17148339762
bddc-mace-144-g0-p172-Random,1.369,144,-26168.49413317604
bddc-mace-144-g0-p173-Random,0.828,144,-26084.809569346486
bddc-mace-144-g0-p24-Random,1.403,144,-26168.99003948435
bddc-mace-144-g0-p25-Random,0.658,144,-26128.748116287687
bddc-mace-144-g0-p26-Random,0.612,144,-26113.302026319554
bddc-mace-144-g0-p27-Random,1.059,144,-26113.443167830137
bddc-mace-144-g0-p28-Random,1.211,144,-26280.19903113501
bddc-mace-144-g0-p29-Random,0.982,144,-26127.974122950764
bddc-mace-144-g0-p144-Random,1.101,144,-26133.817857302176
bddc-mace-144-g0-p145-Random,1.12,144,-26119.550118900846
bddc-mace-144-g0-p146-Random,0.542,144,-26111.90730274434
bddc-mace-144-g0-p147-Random,0.716,144,-26149.866102892694
bddc-mace-144-g0-p148-Random,0.616,144,-26114.897345723522
bddc-mace-144-g0-p149-Random,0.949,144,-26086.21131400466
bddc-mace-144-g0-p6-Random,1.376,144,-26128.539775291643
bddc-mace-144-g0-p7-Random,0.609,144,-26087.01214960703
bddc-mace-144-g0-p8-Random,0.739,144,-26142.879433584207
