id,Density_g_cm3,Space_group,Energy_kJ_mol
ebdc-mace-5-g0-p90-Random,0.537,5,-24589.806168915395
ebdc-mace-5-g0-p91-Random,0.712,5,-24559.2312624982
ebdc-mace-5-g0-p92-Random,0.82,5,-24543.25790371207
ebdc-mace-5-g0-p93-Random,0.532,5,-24554.76679420555
ebdc-mace-5-g0-p94-Random,1.384,5,-24593.92832776529
ebdc-mace-5-g0-p95-Random,0.754,5,-24590.385936441304
ebdc-mace-5-g0-p30-Random,1.212,5,-24595.403059117885
ebdc-mace-5-g0-p32-Random,1.354,5,-24627.426685266164
ebdc-mace-5-g0-p33-Random,1.136,5,-24591.82304805658
ebdc-mace-5-g0-p34-Random,1.204,5,-24599.44804130001
ebdc-mace-5-g0-p35-Random,0.502,5,-24520.359140701075
ebdc-mace-5-g0-p132-Random,0.426,5,-24474.640890847662
ebdc-mace-5-g0-p133-Random,1.375,5,-24628.213554449074
ebdc-mace-5-g0-p134-Random,1.369,5,-24606.291304897484
ebdc-mace-5-g0-p135-Random,0.892,5,-24560.21928603864
ebdc-mace-5-g0-p136-Random,0.724,5,-24548.026131571005
ebdc-mace-5-g0-p137-Random,0.911,5,-24567.095659076294
ebdc-mace-5-g0-p6-Random,1.43,5,-24619.12971635758
ebdc-mace-5-g0-p7-Random,1.459,5,-24673.426227561176
ebdc-mace-5-g0-p9-Random,1.425,5,-24621.31004937539
ebdc-mace-5-g0-p10-Random,1.174,5,-24614.143215311935
ebdc-mace-5-g0-p11-Random,1.324,5,-24615.789940390514
ebdc-mace-5-g0-p36-Random,0.416,5,-24537.088534137194
ebdc-mace-5-g0-p37-Random,1.06,5,-24574.681096411376
ebdc-mace-5-g0-p38-Random,1.401,5,-24634.22606699377
ebdc-mace-5-g0-p39-Random,1.068,5,-24541.330576971537
ebdc-mace-5-g0-p40-Random,0.415,5,-24600.68816826025
ebdc-mace-5-g0-p41-Random,1.311,5,-24637.618891630824
ebdc-mace-5-g0-p126-Random,1.41,5,-24602.135638781765
ebdc-mace-5-g0-p127-Random,1.138,5,-24578.057052704644
ebdc-mace-5-g0-p128-Random,1.307,5,-24627.164302057223
ebdc-mace-5-g0-p129-Random,1.318,5,-24647.32934009113
ebdc-mace-5-g0-p130-Random,0.599,5,-24534.012440725877
ebdc-mace-5-g0-p131-Random,1.062,5,-24553.631355248624
ebdc-mace-5-g0-p186-Random,0.798,5,-24525.15773477615
ebdc-mace-5-g0-p187-Random,0.524,5,-24550.151184121878
ebdc-mace-5-g0-p188-Random,1.128,5,-24633.517345660217
ebdc-mace-5-g0-p189-Random,0.856,5,-24602.438546869373
ebdc-mace-5-g0-p190-Random,1.122,5,-24586.443214881027
ebdc-mace-5-g0-p191-Random,1.363,5,-24588.314851445855
ebdc-mace-5-g0-p72-Random,1.379,5,-24584.672952200595
ebdc-mace-5-g0-p73-Random,1.378,5,-24637.464394798255
ebdc-mace-5-g0-p74-Random,0.463,5,-24521.58377394524
ebdc-mace-5-g0-p75-Random,1.253,5,-24632.240484217902
ebdc-mace-5-g0-p76-Random,0.756,5,-24618.744583865486
ebdc-mace-5-g0-p77-Random,0.399,5,-24530.059374251254
ebdc-mace-5-g0-p108-Random,0.721,5,-24565.35838957639
ebdc-mace-5-g0-p109-Random,1.301,5,-24580.020824170337
ebdc-mace-5-g0-p110-Random,1.085,5,-24612.43878927329
ebdc-mace-5-g0-p111-Random,0.757,5,-24575.615331935165
ebdc-mace-5-g0-p112-Random,0.922,5,-24652.371529167365
ebdc-mace-5-g0-p113-Random,1.336,5,-24603.345610245757
ebdc-mace-5-g0-p180-Random,0.851,5,-24601.01792838902
ebdc-mace-5-g0-p181-Random,0.979,5,-24578.63023997771
ebdc-mace-5-g0-p182-Random,1.205,5,-24625.67795916371
ebdc-mace-5-g0-p183-Random,0.902,5,-24591.326700784462
ebdc-mace-5-g0-p184-Random,1.401,5,-24643.840648128677
ebdc-mace-5-g0-p185-Random,0.6,5,-24513.225647311632
ebdc-mace-5-g0-p144-Random,1.361,5,-24611.260673860288
ebdc-mace-5-g0-p145-Random,1.483,5,-24597.03105063568
ebdc-mace-5-g0-p146-Random,1.396,5,-24678.01115721185
ebdc-mace-5-g0-p147-Random,0.927,5,-24580.936543583906
ebdc-mace-5-g0-p148-Random,1.088,5,-24618.410633830343
ebdc-mace-5-g0-p149-Random,0.644,5,-24540.48252769958
ebdc-mace-5-g0-p96-Random,0.66,5,-24630.08802529261
ebdc-mace-5-g0-p97-Random,1.486,5,-24624.635757602144
ebdc-mace-5-g0-p99-Random,1.424,5,-24671.870939202556
ebdc-mace-5-g0-p100-Random,1.087,5,-24625.714678351676
ebdc-mace-5-g0-p101-Random,1.503,5,-24648.98195795487
ebdc-mace-5-g0-p79-Random,1.372,5,-24652.846243888387
ebdc-mace-5-g0-p80-Random,1.262,5,-24649.621002110245
ebdc-mace-5-g0-p81-Random,1.257,5,-24590.156704239704
ebdc-mace-5-g0-p82-Random,0.6,5,-24546.091311364657
ebdc-mace-5-g0-p83-Random,0.847,5,-24591.514725048204
ebdc-mace-5-g0-p150-Random,1.503,5,-24648.975278780374
ebdc-mace-5-g0-p151-Random,1.217,5,-24604.564835526387
ebdc-mace-5-g0-p152-Random,1.496,5,-24664.95961223254
ebdc-mace-5-g0-p153-Random,0.998,5,-24543.590254728028
ebdc-mace-5-g0-p154-Random,0.895,5,-24590.684612930196
ebdc-mace-5-g0-p155-Random,1.224,5,-24596.651453236904
ebdc-mace-5-g0-p138-Random,1.451,5,-24686.02949900309
ebdc-mace-5-g0-p139-Random,1.253,5,-24605.26223931837
ebdc-mace-5-g0-p140-Random,1.458,5,-24658.22524555418
ebdc-mace-5-g0-p141-Random,1.42,5,-24602.4445962475
ebdc-mace-5-g0-p142-Random,1.398,5,-24655.20707485254
ebdc-mace-5-g0-p143-Random,0.772,5,-24534.491697871945
ebdc-mace-5-g0-p48-Random,1.368,5,-24590.807743826044
ebdc-mace-5-g0-p49-Random,1.33,5,-24616.120690750682
ebdc-mace-5-g0-p50-Random,1.408,5,-24645.176220319074
ebdc-mace-5-g0-p51-Random,0.694,5,-24581.45184413865
ebdc-mace-5-g0-p52-Random,0.792,5,-24573.49902340241
ebdc-mace-5-g0-p53-Random,0.82,5,-24610.946707565487
ebdc-mace-5-g0-p85-Random,1.114,5,-24702.410023813267
ebdc-mace-5-g0-p87-Random,1.114,5,-24598.09423063498
ebdc-mace-5-g0-p88-Random,1.337,5,-24621.315422938784
ebdc-mace-5-g0-p89-Random,1.377,5,-24605.481720000687
ebdc-mace-5-g0-p24-Random,0.454,5,-24592.08111795939
ebdc-mace-5-g0-p25-Random,0.819,5,-24586.12916127804
ebdc-mace-5-g0-p26-Random,1.039,5,-24590.407280925676
ebdc-mace-5-g0-p27-Random,1.092,5,-24561.660736081634
ebdc-mace-5-g0-p28-Random,1.152,5,-24599.145411391917
ebdc-mace-5-g0-p29-Random,1.389,5,-24648.83604109645
ebdc-mace-5-g0-p102-Random,1.289,5,-24604.751106813044
ebdc-mace-5-g0-p103-Random,1.16,5,-24588.87659099311
ebdc-mace-5-g0-p104-Random,1.097,5,-24708.205388681978
ebdc-mace-5-g0-p105-Random,0.673,5,-24578.250840540804
ebdc-mace-5-g0-p106-Random,0.631,5,-24601.120275763416
ebdc-mace-5-g0-p107-Random,0.778,5,-24528.961532542573
ebdc-mace-5-g0-p114-Random,0.662,5,-24582.66850862418
ebdc-mace-5-g0-p115-Random,1.23,5,-24579.990686255813
ebdc-mace-5-g0-p116-Random,1.278,5,-24598.375978858683
ebdc-mace-5-g0-p117-Random,1.425,5,-24638.168109604543
ebdc-mace-5-g0-p118-Random,0.942,5,-24723.60993235686
ebdc-mace-5-g0-p119-Random,0.984,5,-24601.047322261722
ebdc-mace-5-g0-p156-Random,1.236,5,-24628.57153641062
ebdc-mace-5-g0-p157-Random,0.653,5,-24561.27276971363
ebdc-mace-5-g0-p158-Random,0.605,5,-24547.63084804963
ebdc-mace-5-g0-p159-Random,0.986,5,-24648.275223953056
ebdc-mace-5-g0-p160-Random,1.43,5,-24618.996763924188
ebdc-mace-5-g0-p161-Random,0.973,5,-24598.49022473433
ebdc-mace-5-g0-p18-Random,1.22,5,-24620.719086971505
ebdc-mace-5-g0-p19-Random,0.918,5,-24549.377733637804
ebdc-mace-5-g0-p20-Random,1.407,5,-24628.41891546745
ebdc-mace-5-g0-p21-Random,0.612,5,-24624.55197607643
ebdc-mace-5-g0-p22-Random,1.457,5,-24689.168683864587
ebdc-mace-5-g0-p23-Random,1.282,5,-24597.370445007087
ebdc-mace-5-g0-p54-Random,1.417,5,-24660.543408675498
ebdc-mace-5-g0-p55-Random,1.485,5,-24653.842507849255
ebdc-mace-5-g0-p56-Random,0.768,5,-24531.69056738446
ebdc-mace-5-g0-p57-Random,0.903,5,-24532.478022832824
ebdc-mace-5-g0-p58-Random,1.33,5,-24641.325143186983
ebdc-mace-5-g0-p59-Random,0.74,5,-24561.798976599224
ebdc-mace-5-g0-p42-Random,1.041,5,-24648.495157569254
ebdc-mace-5-g0-p43-Random,0.775,5,-24595.794487055995
ebdc-mace-5-g0-p44-Random,1.03,5,-24552.67147558465
ebdc-mace-5-g0-p45-Random,1.321,5,-24656.55394256826
ebdc-mace-5-g0-p46-Random,1.459,5,-24658.055163290006
ebdc-mace-5-g0-p47-Random,1.276,5,-24610.30330247783
ebdc-mace-5-g0-p174-Random,1.013,5,-24645.029957918312
ebdc-mace-5-g0-p175-Random,1.436,5,-24646.00539895786
ebdc-mace-5-g0-p176-Random,0.831,5,-24562.90312943757
ebdc-mace-5-g0-p177-Random,0.778,5,-24526.411357041812
ebdc-mace-5-g0-p178-Random,1.386,5,-24658.98966702899
ebdc-mace-5-g0-p179-Random,1.42,5,-24670.57565070948
ebdc-mace-5-g0-p0-Random,1.192,5,-24584.43869622468
ebdc-mace-5-g0-p1-Random,1.467,5,-24620.26412096595
ebdc-mace-5-g0-p2-Random,0.478,5,-24570.370814957398
ebdc-mace-5-g0-p3-Random,1.348,5,-24722.009263795288
ebdc-mace-5-g0-p4-Random,1.278,5,-24636.90772160834
ebdc-mace-5-g0-p5-Random,1.077,5,-24595.72631307123
ebdc-mace-5-g0-p12-Random,0.909,5,-24655.89253401373
ebdc-mace-5-g0-p13-Random,1.121,5,-24620.69828360167
ebdc-mace-5-g0-p14-Random,1.437,5,-24675.060097771693
ebdc-mace-5-g0-p15-Random,1.436,5,-24656.421004572996
ebdc-mace-5-g0-p16-Random,1.383,5,-24634.488592355036
ebdc-mace-5-g0-p17-Random,1.387,5,-24659.206256907823
ebdc-mace-5-g0-p61-Random,1.055,5,-24638.55440516925
ebdc-mace-5-g0-p62-Random,1.01,5,-24628.87783264666
ebdc-mace-5-g0-p63-Random,1.192,5,-24580.26158167974
ebdc-mace-5-g0-p64-Random,0.96,5,-24648.621843788984
ebdc-mace-5-g0-p65-Random,1.218,5,-24573.805520510923
ebdc-mace-5-g0-p120-Random,1.33,5,-24629.36186426595
ebdc-mace-5-g0-p121-Random,1.352,5,-24653.39871966526
ebdc-mace-5-g0-p122-Random,1.388,5,-24634.47650881063
ebdc-mace-5-g0-p123-Random,0.902,5,-24653.11565711887
ebdc-mace-5-g0-p124-Random,0.848,5,-24561.356251496327
ebdc-mace-5-g0-p125-Random,0.502,5,-24570.038814818174
ebdc-mace-5-g0-p168-Random,1.389,5,-24616.224872995845
ebdc-mace-5-g0-p169-Random,1.285,5,-24619.240674169458
ebdc-mace-5-g0-p170-Random,1.326,5,-24652.328451402915
ebdc-mace-5-g0-p171-Random,1.002,5,-24605.85957873597
ebdc-mace-5-g0-p172-Random,1.369,5,-24659.743408797112
ebdc-mace-5-g0-p173-Random,0.426,5,-24517.459837840943
ebdc-mace-5-g0-p66-Random,1.409,5,-24646.301959161214
ebdc-mace-5-g0-p67-Random,1.439,5,-24676.93800539063
ebdc-mace-5-g0-p68-Random,1.541,5,-24697.232000142212
ebdc-mace-5-g0-p69-Random,1.226,5,-24595.271581364395
ebdc-mace-5-g0-p70-Random,1.229,5,-24621.044502709778
ebdc-mace-5-g0-p71-Random,0.966,5,-24646.33781585698
ebdc-mace-5-g0-p162-Random,1.449,5,-24695.37198304192
ebdc-mace-5-g0-p163-Random,1.528,5,-24630.858622734857
ebdc-mace-5-g0-p164-Random,1.336,5,-24626.521863555332
ebdc-mace-5-g0-p165-Random,1.382,5,-24674.572992473913
ebdc-mace-5-g0-p166-Random,1.01,5,-24583.741385365764
ebdc-mace-5-g0-p167-Random,0.974,5,-24717.005467105006
ebdc-mace-5-g1-p176-Random,1.378,5,-24566.205362051565
