id,Density_g_cm3,Space_group,Reletive_Energy_kJ_mol
1,1.235,7,50.79
2,1.236,13,53.224
3,1.235,7,53.336
4,1.221,2,56.424
5,1.236,86,59.529
6,1.221,2,63.24
