id,Density_g_cm3,Space_group,Energy_kJ_mol
open_ebdc_mul-g0-p184-Random,0.894,145,-24633.27341031287
open_ebdc_mul-g0-p185-Random,1.577,1,-24664.02387532109
open_ebdc_mul-g0-p186-Random,1.029,148,-24536.521346607486
open_ebdc_mul-g0-p187-Random,1.531,33,-24612.34263307904
open_ebdc_mul-g0-p188-Random,0.942,78,-24591.39230414679
open_ebdc_mul-g0-p189-Random,0.903,29,-24613.85281031574
open_ebdc_mul-g0-p190-Random,1.428,29,-24638.66020050041
open_ebdc_mul-g0-p191-Random,1.237,143,-24559.035124639846
open_ebdc_mul-g0-p16-Random,1.447,1,-24657.138042550203
open_ebdc_mul-g0-p17-Random,1.51,33,-24634.08527112428
open_ebdc_mul-g0-p18-Random,0.676,145,-24603.192490951933
open_ebdc_mul-g0-p19-Random,1.122,144,-24615.7422934464
open_ebdc_mul-g0-p20-Random,0.513,145,-24551.14112141566
open_ebdc_mul-g0-p21-Random,1.384,1,-24640.80190881526
open_ebdc_mul-g0-p22-Random,0.446,62,-24640.632434004063
open_ebdc_mul-g0-p23-Random,0.724,148,-24529.51615798219
open_ebdc_mul-g0-p112-Random,0.936,76,-24604.483522164825
open_ebdc_mul-g0-p113-Random,1.459,19,-24670.623939224995
open_ebdc_mul-g0-p114-Random,0.926,143,-24677.31606087228
open_ebdc_mul-g0-p115-Random,1.103,33,-24585.373192576833
open_ebdc_mul-g0-p116-Random,1.534,2,-24653.056200698178
open_ebdc_mul-g0-p117-Random,0.459,144,-24530.144147805273
open_ebdc_mul-g0-p118-Random,1.449,7,-24649.749630699233
open_ebdc_mul-g0-p104-Random,1.407,4,-24639.094352397413
open_ebdc_mul-g0-p105-Random,1.348,62,-24612.63648541708
open_ebdc_mul-g0-p106-Random,1.23,145,-24608.41857822045
open_ebdc_mul-g0-p107-Random,1.389,62,-24651.619169690475
open_ebdc_mul-g0-p108-Random,1.566,4,-24659.82038517974
open_ebdc_mul-g0-p109-Random,1.485,7,-24655.29312210765
open_ebdc_mul-g0-p110-Random,1.139,143,-24531.192329696172
open_ebdc_mul-g0-p111-Random,0.727,78,-24552.780791008707
open_ebdc_mul-g0-p240-Random,0.757,77,-24558.4929394275
open_ebdc_mul-g0-p241-Random,1.569,14,-24628.814280587478
open_ebdc_mul-g0-p242-Random,1.047,77,-24583.48416421239
open_ebdc_mul-g0-p244-Random,0.871,143,-24535.60293952433
open_ebdc_mul-g0-p245-Random,0.899,143,-24579.784456663383
open_ebdc_mul-g0-p246-Random,1.304,14,-24624.76175387234
open_ebdc_mul-g0-p247-Random,1.161,143,-24540.868569704253
open_ebdc_mul-g0-p48-Random,1.439,2,-24637.51726342639
open_ebdc_mul-g0-p49-Random,1.332,145,-24627.505982917693
open_ebdc_mul-g0-p50-Random,0.911,5,-24638.542483055622
open_ebdc_mul-g0-p51-Random,1.374,33,-24622.38122596082
open_ebdc_mul-g0-p52-Random,1.177,143,-24568.50762016853
open_ebdc_mul-g0-p53-Random,1.085,78,-24554.02535152766
open_ebdc_mul-g0-p54-Random,1.383,61,-24646.791316843588
open_ebdc_mul-g0-p55-Random,1.208,77,-24582.629928608192
open_ebdc_mul-g0-p200-Random,0.736,145,-24576.906524853235
open_ebdc_mul-g0-p201-Random,1.635,1,-24661.43840991033
open_ebdc_mul-g0-p202-Random,1.483,9,-24644.054334005894
open_ebdc_mul-g0-p203-Random,1.585,2,-24676.216040447325
open_ebdc_mul-g0-p204-Random,0.697,148,-24562.659352106934
open_ebdc_mul-g0-p205-Random,1.471,75,-24640.552722077296
open_ebdc_mul-g0-p206-Random,1.444,7,-24660.016064235522
open_ebdc_mul-g0-p207-Random,0.371,148,-24578.845438394357
open_ebdc_mul-g0-p64-Random,0.634,29,-24566.990630924065
open_ebdc_mul-g0-p65-Random,1.357,29,-24589.622840017233
open_ebdc_mul-g0-p66-Random,1.391,9,-24623.916532668907
open_ebdc_mul-g0-p67-Random,1.445,9,-24629.40227996984
open_ebdc_mul-g0-p68-Random,1.386,29,-24593.38000540992
open_ebdc_mul-g0-p69-Random,1.109,143,-24578.450475746107
open_ebdc_mul-g0-p70-Random,0.636,144,-24512.36869412457
open_ebdc_mul-g0-p71-Random,1.522,1,-24647.9960715321
open_ebdc_mul-g0-p192-Random,0.573,144,-24496.176728249466
open_ebdc_mul-g0-p193-Random,1.475,2,-24662.823473053802
open_ebdc_mul-g0-p194-Random,1.53,9,-24706.209606010743
open_ebdc_mul-g0-p195-Random,1.405,29,-24625.562377952847
open_ebdc_mul-g0-p196-Random,1.535,33,-24630.592182168308
open_ebdc_mul-g0-p197-Random,1.391,4,-24654.01067902128
open_ebdc_mul-g0-p198-Random,0.948,29,-24652.801284418558
open_ebdc_mul-g0-p199-Random,1.374,76,-24635.59903914825
open_ebdc_mul-g0-p96-Random,0.437,148,-24539.53728134948
open_ebdc_mul-g0-p97-Random,1.434,77,-24630.5747380855
open_ebdc_mul-g0-p98-Random,1.317,60,-24655.191337693832
open_ebdc_mul-g0-p99-Random,1.104,78,-24590.22613384776
open_ebdc_mul-g0-p100-Random,0.478,75,-24535.2857676932
open_ebdc_mul-g0-p101-Random,1.409,5,-24576.125180663992
open_ebdc_mul-g0-p102-Random,1.413,2,-24664.39864996303
open_ebdc_mul-g0-p103-Random,1.403,19,-24653.60924631474
open_ebdc_mul-g0-p120-Random,0.995,77,-24561.922232266214
open_ebdc_mul-g0-p121-Random,0.763,33,-24533.458065296283
open_ebdc_mul-g0-p122-Random,1.323,60,-24629.764353154336
open_ebdc_mul-g0-p123-Random,1.466,7,-24649.96806883514
open_ebdc_mul-g0-p124-Random,1.48,78,-24613.675974146117
open_ebdc_mul-g0-p125-Random,1.296,60,-24617.781532112247
open_ebdc_mul-g0-p126-Random,1.195,144,-24601.23294228086
open_ebdc_mul-g0-p127-Random,0.922,143,-24563.833410530413
open_ebdc_mul-g0-p88-Random,1.37,144,-24634.23847220637
open_ebdc_mul-g0-p89-Random,1.173,5,-24600.80711857507
open_ebdc_mul-g0-p90-Random,1.635,1,-24663.225233465073
open_ebdc_mul-g0-p91-Random,1.074,13,-24603.886004255237
open_ebdc_mul-g0-p92-Random,0.997,144,-24592.762357939035
open_ebdc_mul-g0-p93-Random,1.578,1,-24644.330232543474
open_ebdc_mul-g0-p94-Random,1.164,61,-24649.909530057754
open_ebdc_mul-g0-p95-Random,1.478,4,-24648.581565708624
open_ebdc_mul-g0-p8-Random,0.769,33,-24581.412316170292
open_ebdc_mul-g0-p9-Random,0.804,76,-24568.29722332521
open_ebdc_mul-g0-p10-Random,0.734,62,-24504.77998235476
open_ebdc_mul-g0-p11-Random,1.576,2,-24677.42308481648
open_ebdc_mul-g0-p12-Random,1.422,13,-24624.659050505932
open_ebdc_mul-g0-p13-Random,1.333,33,-24648.86129010571
open_ebdc_mul-g0-p14-Random,1.218,76,-24628.775387975442
open_ebdc_mul-g0-p15-Random,1.364,9,-24656.63903167799
open_ebdc_mul-g0-p168-Random,1.415,9,-24670.697832566566
open_ebdc_mul-g0-p169-Random,1.42,1,-24638.14092405206
open_ebdc_mul-g0-p170-Random,1.547,7,-24651.859783428114
open_ebdc_mul-g0-p171-Random,1.376,5,-24637.555735620932
open_ebdc_mul-g0-p172-Random,1.492,33,-24631.283340300793
open_ebdc_mul-g0-p173-Random,1.244,77,-24611.074454602604
open_ebdc_mul-g0-p175-Random,1.054,76,-24578.36167688549
open_ebdc_mul-g0-p32-Random,0.87,19,-24654.147718492397
open_ebdc_mul-g0-p33-Random,0.967,61,-24701.412404177107
open_ebdc_mul-g0-p34-Random,1.461,4,-24680.37927350276
open_ebdc_mul-g0-p35-Random,0.471,144,-24515.196668275785
open_ebdc_mul-g0-p36-Random,1.457,29,-24712.68243851515
open_ebdc_mul-g0-p37-Random,1.304,13,-24655.34858432626
open_ebdc_mul-g0-p38-Random,0.861,78,-24553.563472717397
open_ebdc_mul-g0-p39-Random,1.154,77,-24615.367298971047
open_ebdc_mul-g0-p72-Random,0.471,148,-24497.73389055902
open_ebdc_mul-g0-p73-Random,1.042,62,-24585.252306615166
open_ebdc_mul-g0-p74-Random,1.442,61,-24675.71306761576
open_ebdc_mul-g0-p75-Random,0.646,62,-24515.730474337004
open_ebdc_mul-g0-p76-Random,1.314,7,-24629.682748272502
open_ebdc_mul-g0-p77-Random,1.363,76,-24633.85047867572
open_ebdc_mul-g0-p78-Random,0.79,76,-24657.701116144315
open_ebdc_mul-g0-p79-Random,1.321,14,-24657.166676449775
open_ebdc_mul-g0-p248-Random,1.33,148,-24616.159581199972
open_ebdc_mul-g0-p249-Random,1.526,14,-24657.05291944362
open_ebdc_mul-g0-p250-Random,0.916,13,-24698.722938815274
open_ebdc_mul-g0-p251-Random,1.388,19,-24633.474618993463
open_ebdc_mul-g0-p252-Random,1.433,61,-24636.41133793722
open_ebdc_mul-g0-p253-Random,1.409,33,-24613.5659293016
open_ebdc_mul-g0-p254-Random,0.797,77,-24642.547851912026
open_ebdc_mul-g0-p255-Random,0.785,143,-24495.710756683096
open_ebdc_mul-g0-p56-Random,1.333,144,-24591.567873607393
open_ebdc_mul-g0-p57-Random,1.424,2,-24655.680921486204
open_ebdc_mul-g0-p58-Random,1.032,145,-24574.284491072653
open_ebdc_mul-g0-p59-Random,1.456,4,-24705.0417757567
open_ebdc_mul-g0-p60-Random,1.382,7,-24652.75396233871
open_ebdc_mul-g0-p61-Random,1.317,5,-24653.490688472328
open_ebdc_mul-g0-p62-Random,1.482,14,-24618.760535477006
open_ebdc_mul-g0-p63-Random,1.433,19,-24635.490221989952
open_ebdc_mul-g0-p128-Random,0.494,145,-24533.04184400671
open_ebdc_mul-g0-p129-Random,1.523,1,-24656.017769063736
open_ebdc_mul-g0-p130-Random,0.921,2,-24695.948684288225
open_ebdc_mul-g0-p131-Random,0.66,62,-24536.830464941195
open_ebdc_mul-g0-p132-Random,1.01,9,-24617.282454307013
open_ebdc_mul-g0-p133-Random,1.499,4,-24652.409481159208
open_ebdc_mul-g0-p134-Random,1.372,4,-24648.78817567996
open_ebdc_mul-g0-p135-Random,1.522,1,-24646.526372879373
open_ebdc_mul-g0-p24-Random,1.255,78,-24604.461938558623
open_ebdc_mul-g0-p25-Random,1.466,29,-24644.187330296398
open_ebdc_mul-g0-p26-Random,1.264,13,-24580.935840221162
open_ebdc_mul-g0-p27-Random,0.925,2,-24697.77951595169
open_ebdc_mul-g0-p28-Random,1.44,2,-24675.010388500126
open_ebdc_mul-g0-p29-Random,1.483,7,-24654.332192200054
open_ebdc_mul-g0-p30-Random,0.947,148,-24556.5131658148
open_ebdc_mul-g0-p31-Random,1.514,61,-24609.57514059751
open_ebdc_mul-g0-p208-Random,1.396,75,-24665.44506213355
open_ebdc_mul-g0-p209-Random,1.304,5,-24618.78312366626
open_ebdc_mul-g0-p210-Random,1.148,33,-24614.722553136962
open_ebdc_mul-g0-p211-Random,1.396,61,-24644.529732794348
open_ebdc_mul-g0-p212-Random,1.412,76,-24615.202993513572
open_ebdc_mul-g0-p213-Random,1.279,33,-24600.994416555997
open_ebdc_mul-g0-p214-Random,1.154,77,-24581.274185217142
open_ebdc_mul-g0-p215-Random,1.358,2,-24660.668422563376
open_ebdc_mul-g0-p80-Random,0.436,13,-24557.842209047823
open_ebdc_mul-g0-p81-Random,1.399,29,-24630.657029892187
open_ebdc_mul-g0-p82-Random,1.502,33,-24622.301614430773
open_ebdc_mul-g0-p83-Random,1.072,19,-24655.07975712904
