id,Density_g_cm3,Space_group,Reletive_Energy_kJ_mol
1,0.79,77,63.157
2,0.797,77,64.667
3,0.76,77,64.726
4,0.778,84,64.761
5,0.769,84,65.405
6,0.78,77,65.552
